n;cod_jcyl;provincia;municipio;localidad;denominacion;categoria;latitud;longitud;altitud
1;09-307-0001-001-0000-000;Burgos;Redecilla del Camino;Redecilla del Camino;Rollo de Justicia de Redecilla del Camino;Rollos de Justicia;42.43870;-3.06318;735
2;09-082-0001-004-0000-000;Burgos;Castildelgado;Castildelgado;Palacio Fortificado de Castildelgado;Castillos;42.43670;-3.08364;770
3;09-048-0002-001-0000-000;Burgos;Belorado;Belorado;Castillo de Belorado ;Castillos;42.42080;-3.18730;815
4;09-431-0002-001-0000-000;Burgos;Villafranca Montes de Oca;Villafranca Montes de Oca;Ruinas de la Iglesia de San Félix de Villafranca Montes de Oca;Monumento;42.40190;-3.30008;927
5;09-044-0004-001-0000-000;Burgos;Barrios de Colina;San Juan de Ortega;Monasterio de San Juan de Ortega ;Monumento;42.376;-3.43686;1001
6;09-029-0001-002-0000-000;Burgos;Atapuerca;Atapuerca;Sierra de Atapuerca ;Zona arqueológica;42.34885;-3.51478;1039
7;;Burgos;Ibeas de Juarros;Ibeas de Juarros;Cueva del Silo de Ibeas de Juarros;Arte rupestre;42.34755;-3.52124;1004
8;09-177-0005-024-0000-000;Burgos;Ibeas de Juarros;Ibeas de Juarros;Cueva mayor Portalon de entrada Ibeas de Juarros;Arte rupestre;42.34819;-3.51716;1038
9;09-177-0005-027-0000-000;Burgos;Ibeas de Juarros;Ibeas de Juarros;Cueva Mayor Principal Salon de Coro de Ibeas de Juarros;Arte rupestre;42.34819;-3.51716;1038
10;09-059-0001-009-0000-000;Burgos;Burgos;Burgos;Casco histórico de la Ciudad de Burgos;Conjunto histórico;42.33996;-3.71230;865
11;09-059-0001-098-0000-000;Burgos;Burgos;Burgos;Archivo Historico Provincial de Burgos;Archivos. museos y bibliotecas;42.34423;-3.69264;858
12;09-059-0001-099-0000-000;Burgos;Burgos;Burgos;Biblioteca Pública de Burgos;Archivos. museos y bibliotecas;42.34256;-3.69599;856
13;09-059-0001-073-0000-000;Burgos;Burgos;Burgos;Castillo de Burgos;Castillos;42.34304;-3.70727;932
14;09-059-0001-072-0000-000;Burgos;Burgos;Burgos;Muralla de Burgos;Castillos;42.34080;-3.71175;875
